,url,ean,cat1,cat2,cat3,desc,preco,imagem
3279,https://www.superabc.com.br/7891000315200nescafe-mat-sachet-50g/p,7891000315200,Mercearia,Matinais,Cafés,NESCAFÉ MAT SACHET 50G - UNIDADE,4.19,https://abcemcasa.vteximg.com.br/arquivos/ids/263009-1000-1000/7891000315200.jpg?v=637002336529100000
3280,https://www.superabc.com.br/7896005808559capsula-3-coracoes-rituais-mogiana-c10/p,7896005808559,Mercearia,Matinais,Cafés,CAPSULA 3 CORACOES RITUAIS MOGIANA C10 - UNIDADE,15.9,https://abcemcasa.vteximg.com.br/arquivos/ids/273899-1000-1000/17896005808556.jpg?v=637031963672100000
3281,https://www.superabc.com.br/7896005808535capsula-3-coracoes-rituais-sul-minas-c10/p,7896005808535,Mercearia,Matinais,Cafés,CAPSULA 3 CORACOES RITUAIS SUL MINAS C10 - UNIDADE,15.9,https://abcemcasa.vteximg.com.br/arquivos/ids/273900-1000-1000/17896005808532.jpg?v=637031963676930000
3282,https://www.superabc.com.br/7891000104101-nesquik-mor-lt-380g/p,7891000104101,Mercearia,Matinais,Achocolatados,NESQUIK MORANGO LT 380G - UNIDADE,8.99,https://abcemcasa.vteximg.com.br/arquivos/ids/263019-1000-1000/7891000104101.jpg?v=637002336545230000
3283,https://www.superabc.com.br/7896005808528capsula-3-coracoes-rituais-cerrado-c10/p,7896005808528,Mercearia,Matinais,Cafés,CAPSULA 3 CORACOES RITUAIS CERRADO C10 - UNIDADE,15.9,https://abcemcasa.vteximg.com.br/arquivos/ids/273898-1000-1000/17896005808525.jpg?v=637031963668330000
3284,https://www.superabc.com.br/7891025117742activia-cafe-linhaca-mor-170g/p,7891025117742,Mercearia,Matinais,Bebidas Lácteas,ACTIVIA CAFE LINHACA MOR 170G,4.99,https://abcemcasa.vteximg.com.br/arquivos/ids/274940-1000-1000/627675.png?v=637225549121530000
3285,https://www.superabc.com.br/7898941911218alim-sustagem-kids-baun-380g/p,7898941911218,Mercearia,Matinais,Complemento Alimentar,ALIMENTO SUSTAGEM KIDS BAUNILHA 380G - UNIDADE,33.5,https://abcemcasa.vteximg.com.br/arquivos/ids/249649-1000-1000/7898941911218.jpg?v=637002214976830000
3286,https://www.superabc.com.br/7891000001080comp-lacteo-ninho-cresc-prebio-1-400g/p,7891000001080,Mercearia,Matinais,Bebidas Lácteas,COMPLEMENTO LÁCTEO NINHO CRESC PREBIO 1 400G - UNIDADE,15.9,https://abcemcasa.vteximg.com.br/arquivos/ids/254174-1000-1000/7891000001080.jpg?v=637002254995970000
3287,https://www.superabc.com.br/7896005807651cafe-3-coracoes-soluvel-100-arabica-50g/p,7896005807651,Mercearia,Matinais,Cafés,CAFÉ 3 CORAÇÕES SOLÚVEL 100%ARABICA 50G - UNIDADE,7.19,https://abcemcasa.vteximg.com.br/arquivos/ids/274350-1000-1000/7896005807651.jpg?v=637032875729000000
3288,https://www.superabc.com.br/7896024801104cevada-superbom-tor-moida-500g/p,7896024801104,Mercearia,Matinais,,CEVADA SUPERBOM TOR MOÍDA 500G - UNIDADE,7.49,https://abcemcasa.vteximg.com.br/arquivos/ids/253409-1000-1000/7896024801104.jpg?v=637002251738630000
3289,https://www.superabc.com.br/7898941911201alim-sustagem-kids-mor-380g/p,7898941911201,Mercearia,Matinais,Complemento Alimentar,ALIMENTO SUSTAGEM KIDS MORANGO 380G - UNIDADE,33.5,https://abcemcasa.vteximg.com.br/arquivos/ids/249659-1000-1000/7898941911201.jpg?v=637002215019430000
3290,https://www.superabc.com.br/7898941911034alim-sustagem-choc-400g/p,7898941911034,Mercearia,Matinais,Complemento Alimentar,ALIMENTO SUSTAGEM CHOCOLATE 400G - UNIDADE,69.9,https://abcemcasa.vteximg.com.br/arquivos/ids/249644-1000-1000/7898941911034.jpg?v=637002214959100000
3291,https://www.superabc.com.br/7896021315413-achoc-po-geneo-s-amalia-sache-700g/p,7896021315413,Mercearia,Matinais,Achocolatados,ACHOCOLATADO PÓ GENEO SANTA AMÁLIA SACHE 700G - UNIDADE,7.99,https://abcemcasa.vteximg.com.br/arquivos/ids/249296-1000-1000/7896021315413.jpg?v=637002213576400000
3292,https://www.superabc.com.br/7898941911195alim-sustagem-kids-choc-380g/p,7898941911195,Mercearia,Matinais,Complemento Alimentar,ALIMENTO SUSTAGEM KIDS CHOCOLATE 380G - UNIDADE,33.5,https://abcemcasa.vteximg.com.br/arquivos/ids/249654-1000-1000/7898941911195.jpg?v=637002214996300000
