link,ean,catI,catII,catIII,descricao,preco,imagem_link
https://www.superabc.com.br/7897807458720-cabide-tintureiro-arthi-cristal--c3/p,7897807458720,Bazar,Casa e Cozinha,Utensílios,CABIDE TINTUREIRO ARTHI CRISTAL C3 - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/252441-1000-1000/7897807458720.jpg?v=637002247757400000
https://www.superabc.com.br/7891361741489-prato-fundo-oxford-withe-2000/p,7891361741489,Bazar,Casa e Cozinha,Cerâmica,PRATO FUNDO OXFORD WITHE 2000 - UNIDADE,26.99,https://abcemcasa.vteximg.com.br/arquivos/ids/265216-1000-1000/7891361741489.jpg?v=637002352367570000
https://www.superabc.com.br/7896067202340bateria-panosinic-digital-3v-cr20321bt/p,7896067202340,Bazar,Casa e Construção,Acendimentos,BATERIA PANOSINIC DIGITAL 3V CR20321BT - UNIDADE,5.99,https://abcemcasa.vteximg.com.br/arquivos/ids/250950-1000-1000/7896067202340.jpg?v=637002223145670000
https://www.superabc.com.br/78924338-des-rexona-rol-power-50ml/p,78924338,Higiene e Beleza,Higiene Pessoal,Desodorantes,DESODORANTE REXONA ROL POWER 50ML,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/255741-1000-1000/Principal.jpg?v=637002271911600000
https://www.superabc.com.br/7896067201398pilha-panasonic-alc-palito-c-4/p,7896067201398,Bazar,Casa e Construção,Acendimentos,PILHA PANASONIC ALC PALITO C/4 - UNIDADE,16.9,https://abcemcasa.vteximg.com.br/arquivos/ids/264563-1000-1000/7896067201398.jpg?v=637002350679300000
https://www.superabc.com.br/7897807416003supt-vin-arthi-cook/p,7897807416003,Bazar,Casa e Cozinha,Inox,SUPT VINHO ARTHI COOK - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/237909-1000-1000/7897807416003.jpg?v=636935432787730000
https://www.superabc.com.br/7891361720965-prato-raso-oxford-30x20-plateau-white/p,7891361720965,Bazar,Casa e Cozinha,Cerâmica,PRATO RASO OXFORD 30X20 PLATEAU WHITE - UNIDADE,35.39,https://abcemcasa.vteximg.com.br/arquivos/ids/265275-1000-1000/7891361720965.jpg?v=637002352569530000
https://www.superabc.com.br/7896110002248-abs-sym-suv-c--abas-c-8/p,7896110002248,Higiene e Beleza,Higiene Pessoal,Absorventes,ABSORVENTE SYM SUAVE COM  ABAS COM 8,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/249215-1000-1000/7896110002248.jpg?v=637002213222500000
https://www.superabc.com.br/7891361719648-travessa-refrataria-oxford-funda-41x22x8/p,7891361719648,Bazar,Casa e Cozinha,Cerâmica,TRAVESSA REFRATARIA OXFORD FUNDA 41X22X8 - UNIDADE,139.9,https://abcemcasa.vteximg.com.br/arquivos/ids/243305-1000-1000/7891361719648.jpg?v=636943339887970000
https://www.superabc.com.br/7897807415464-cesto-flexl-roupas-arthi-35l/p,7897807415464,Bazar,Casa e Cozinha,Plástico,CESTO FLEXIVELAVA ROUPAS ARTHI 35L - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/253396-1000-1000/7897807415464.jpg?v=637002251684800000
